5.0		-10.0		4871.0		11942.0		0.0016181425788217142
5.0		-9.0		9617.0		11924.0		0.0016170890016547633
5.0		-8.0		16948.0		11965.0		0.0016235472068094922
5.0		-7.0		27530.0		11756.0		0.0015973953379264294
5.0		-6.0		42390.0		11720.0		0.0015953528949189234
5.0		-5.0		67856.0		11472.0		0.0015660097261325826
5.0		-4.0		128544.0		11113.0		0.0015275947839366803
5.0		-3.0		260166.0		10365.0		0.001447158605651165
5.0		-2.0		766881.0		6920.0		0.0010290598470573187
5.0		-1.0		964132.0		4731.0		0.0007227695318497537
5.0		0.0		858580.0		5495.0		0.0008285756204553683
5.0		1.0		501741.0		8857.0		0.0012781759360037499
5.0		2.0		13059.0		11637.0		0.0015859290195573382
5.0		3.0		4994.0		11611.0		0.0015812444659507856
5.0		4.0		2737.0		11626.0		0.0015837142843209318
5.0		5.0		1481.0		11679.0		0.001590776194992467
5.0		6.0		884.0		11714.0		0.0015946480377361737
5.0		7.0		580.0		11784.0		0.0016045105372798302
5.0		8.0		471.0		11633.0		0.001583462019398247
5.0		9.0		471.0		11822.0		0.0016099802981010213
5.0		10.0		417.0		11752.0		0.0016000366842992017
5.0		11.0		423.0		11673.0		0.0015891312732702974
5.0		12.0		453.0		11701.0		0.0015932791479533641
5.0		13.0		418.0		11726.0		0.0015965763390599855
5.0		14.0		409.0		11590.0		0.0015778695074961464
5.0		15.0		427.0		11689.0		0.0015921472556824226
5.5		-10.0		614.0		94.0		1.2778142090765046e-05
5.5		-9.0		1239.0		86.0		1.1691436878951893e-05
5.5		-8.0		1694.0		67.0		9.108520792808912e-06
5.5		-7.0		2034.0		92.0		1.250788880704379e-05
5.5		-6.0		2287.0		64.0		8.701281997944866e-06
5.5		-5.0		2602.0		69.0		9.384434161462046e-06
5.5		-4.0		2976.0		71.0		9.653146143874025e-06
5.5		-3.0		3091.0		60.0		8.157945659597644e-06
5.5		-2.0		3044.0		75.0		1.0197538558932799e-05
5.5		-1.0		2725.0		83.0		1.1285354261546923e-05
5.5		0.0		2180.0		85.0		1.1555998943373838e-05
5.5		1.0		1633.0		69.0		9.381731647395366e-06
5.5		2.0		1232.0		95.0		1.2914426319568213e-05
5.5		3.0		732.0		88.0		1.1964635582760961e-05
5.5		4.0		471.0		95.0		1.2915609354098805e-05
5.5		5.0		254.0		99.0		1.3460613632664748e-05
5.5		6.0		119.0		102.0		1.3866901240255648e-05
5.5		7.0		72.0		87.0		1.1831443865347398e-05
5.5		8.0		42.0		97.0		1.3181825507799931e-05
5.5		9.0		29.0		88.0		1.1962130613144832e-05
5.5		10.0		31.0		91.0		1.2374307630291806e-05
5.5		11.0		38.0		98.0		1.3322066671234233e-05
5.5		12.0		21.0		97.0		1.3187554570304744e-05
5.5		13.0		30.0		85.0		1.1553444002821977e-05
5.5		14.0		29.0		103.0		1.4003199635949439e-05
5.5		15.0		19.0		92.0		1.2507189934866089e-05
6.0		-10.0		116.0		20.0		2.719034620896831e-06
6.0		-9.0		199.0		19.0		2.582956894554972e-06
6.0		-8.0		310.0		17.0		2.3113807903317934e-06
6.0		-7.0		361.0		18.0		2.4470389401384944e-06
6.0		-6.0		521.0		26.0		3.5355156004217925e-06
6.0		-5.0		584.0		18.0		2.4474849277759435e-06
6.0		-4.0		684.0		13.0		1.7670882531449073e-06
6.0		-3.0		758.0		16.0		2.175211195333476e-06
6.0		-2.0		718.0		22.0		2.9921254873492392e-06
6.0		-1.0		638.0		23.0		3.125676946882246e-06
6.0		0.0		529.0		13.0		1.7674391109748644e-06
6.0		1.0		446.0		17.0		2.3104242536921938e-06
6.0		2.0		386.0		16.0		2.175613332593625e-06
6.0		3.0		319.0		14.0		1.9035253125629353e-06
6.0		4.0		209.0		14.0		1.9031449306852867e-06
6.0		5.0		126.0		25.0		3.398659650201792e-06
6.0		6.0		69.0		25.0		3.3991606629331375e-06
6.0		7.0		34.0		22.0		2.9905363119075e-06
6.0		8.0		33.0		20.0		2.7183897955126616e-06
6.0		9.0		35.0		28.0		3.8067375883632165e-06
6.0		10.0		28.0		21.0		2.8550578491821403e-06
6.0		11.0		18.0		29.0		3.942816328687092e-06
6.0		12.0		25.0		25.0		3.3989000180658336e-06
6.0		13.0		18.0		33.0		4.484866226633338e-06
6.0		14.0		24.0		14.0		1.9030381405816686e-06
6.0		15.0		27.0		25.0		3.399284899234318e-06
6.5		-10.0		54.0		4.0		5.438461846362147e-07
6.5		-9.0		85.0		7.0		9.519033688621747e-07
6.5		-8.0		133.0		10.0		1.3590548045645214e-06
6.5		-7.0		178.0		5.0		6.798751172750584e-07
6.5		-6.0		208.0		9.0		1.2237727150572506e-06
6.5		-5.0		206.0		6.0		8.156310137494183e-07
6.5		-4.0		241.0		7.0		9.514073325996081e-07
6.5		-3.0		269.0		10.0		1.3594182864271493e-06
6.5		-2.0		296.0		7.0		9.515371525370333e-07
6.5		-1.0		265.0		4.0		5.437793343461223e-07
6.5		0.0		219.0		6.0		8.157696096942145e-07
6.5		1.0		206.0		9.0		1.2236587069027403e-06
6.5		2.0		169.0		6.0		8.157827198620088e-07
6.5		3.0		129.0		4.0		5.438557233432041e-07
6.5		4.0		88.0		6.0		8.155088249064224e-07
6.5		5.0		69.0		9.0		1.2237237947707508e-06
6.5		6.0		31.0		6.0		8.157897742383379e-07
6.5		7.0		51.0		11.0		1.495169013769392e-06
6.5		8.0		24.0		7.0		9.515914810159267e-07
6.5		9.0		18.0		9.0		1.2236624003541117e-06
6.5		10.0		22.0		7.0		9.51541576195453e-07
6.5		11.0		19.0		8.0		1.0875606202891123e-06
6.5		12.0		25.0		6.0		8.156305480719187e-07
6.5		13.0		23.0		4.0		5.440251687804084e-07
6.5		14.0		29.0		8.0		1.0877154397182121e-06
6.5		15.0		20.0		3.0		4.0783207237094317e-07
