# DeltaBLM CollPos ActualPos Theta SignalBLM ErrBLM BeamInt SignalCry
0.5	7.92	7.92	-105.68183320678938	-3.149534225463864e-07	4.874649047851561e-07	208995750895.12057	3.4937286376953125e-07
3.0	7.87	7.87	-104.77058099126664	-9.377485275268553e-07	3.079452514648438e-07	208952531945.3989	3.5627746582031247e-07
6.0	7.82	7.82	-103.8593287757439	-3.964277267456051e-07	1.4637756347656235e-07	208901685394.8108	3.5443623860677084e-07
9.0	7.77	7.77	-102.94807656022114	6.63198534647624e-07	9.086456298828128e-07	208819856379.9069	3.5351562499999996e-07
12.0	7.72	7.72	-102.0368243446984	1.2832202911376966e-07	1.4803466796875005e-06	208738472091.4471	3.691660563151042e-07
15.0	7.67	7.67	-101.12557212917564	-2.1046377817789657e-07	3.6456298828124995e-07	208663678215.01022	3.5259501139322914e-07
18.0	7.62	7.62	-100.2143199136529	-4.802035649617507e-07	1.0715942382812502e-06	208609570409.47827	3.4523010253906254e-07
21.0	7.57	7.57	-99.30306769813016	-4.820447921752927e-07	8.133621215820307e-07	208521661658.67325	3.4430948893229167e-07
24.0	7.52	7.52	-98.3918154826074	-1.1200300216674802e-06	1.3353500366210937e-06	208471816935.75296	3.5443623860677084e-07
27.0	7.47	7.47	-97.48056326708466	7.676766713460325e-08	1.0771179199218748e-06	208400532710.24936	3.5811869303385416e-07
30.0	7.42	7.42	-96.56931105156193	4.680284500122078e-07	7.346496582031253e-07	208324115256.88168	3.6640421549479164e-07
33.0	7.37	7.37	-95.65805883603917	1.0848395665486657e-06	1.7731018066406246e-06	208234559933.5347	3.802134195963542e-07
36.0	7.32	7.32	-94.74680662051642	-8.107038497924802e-07	6.559371948242187e-07	208168722413.80344	3.4246826171875003e-07
39.0	7.27	7.27	-93.83555440499366	-1.0049533208211256e-06	2.720413208007814e-07	208113288889.58847	3.176116943359375e-07
42.0	7.22	7.22	-92.92430218947092	-1.0463809331258136e-06	5.31654357910156e-07	208049650054.00916	3.0564371744791665e-07
45.0	7.17	7.17	-92.01304997394818	-4.562676111857094e-07	2.2950897216796873e-06	208004788219.7208	3.295796712239583e-07
48.0	7.12	7.12	-91.10179775842543	3.4466622670491617e-07	2.388992309570315e-07	207925147909.74133	3.498331705729167e-07
51.0	7.07	7.07	-90.1905455429027	1.2358201980590821e-06	1.5521545410156247e-06	207862616768.41745	3.5811869303385416e-07
54.0	7.02	7.02	-89.27929332737992	8.78622118631999e-07	8.423614501953126e-07	207788147650.75464	3.4062703450520834e-07
57.0	6.97	6.97	-88.36804111185718	3.5539252599080403e-06	3.705009460449219e-06	207729733591.60495	3.4615071614583336e-07
60.0	6.92	6.92	-87.45678889633444	1.5893358230590822e-06	5.288925170898439e-07	207653066006.7299	3.5995992024739585e-07
63.0	6.87	6.87	-86.5455366808117	5.029668871561688e-06	2.1832351684570312e-06	207583973306.3672	3.783721923828125e-07
66.0	6.82	6.82	-85.63428446528896	7.46377124786377e-06	2.3337554931640616e-06	207484307940.83655	3.618011474609375e-07
69.0	6.77	6.77	-84.72303224976619	5.304932339986165e-06	2.2384719848632814e-06	207427325033.078	3.4430948893229167e-07
72.0	6.72	6.72	-83.81178003424345	8.262863858540853e-06	2.6154632568359363e-06	207354462787.98682	3.498331705729167e-07
75.0	6.67	6.67	-82.9005278187207	1.2404704475402831e-05	3.0974044799804695e-06	207287779420.25272	3.5627746582031247e-07
78.0	6.62	6.62	-81.98927560319795	8.587840461730957e-06	2.6831283569335927e-06	207224900741.48325	3.2865905761718754e-07
81.0	6.57	6.57	-81.07802338767522	1.5571615282694498e-05	4.296043395996093e-06	207146051610.69492	3.7192789713541666e-07
84.0	6.52	6.52	-80.16677117215245	1.1842209561665853e-05	1.7772445678710939e-06	207085995534.73746	3.4246826171875003e-07
87.0	6.47	6.47	-79.25551895662971	2.515152047475179e-05	1.0253334045410153e-05	207026259878.7596	3.5443623860677084e-07
90.0	6.42	6.42	-78.34426674110698	2.9513387743632e-05	5.507110595703124e-06	206955164607.75986	3.4891255696614587e-07
93.0	6.37	6.37	-77.43301452558423	2.6695389493306478e-05	7.767677307128902e-06	206885403299.15286	3.4615071614583336e-07
96.0	6.32	6.32	-76.52176231006148	4.4734813117980956e-05	3.2244491577148445e-06	206819589859.73148	3.5259501139322914e-07
99.0	6.27	6.27	-75.61051009453872	6.890276152292888e-05	1.9109176635742182e-05	206720797459.66968	3.774515787760417e-07
102.0	6.22	6.22	-74.69925787901597	4.371753508249919e-05	1.5633399963378912e-05	206632544642.4548	3.489125569661458e-07
105.0	6.17	6.17	-73.78800566349324	4.443653430938721e-05	6.682273864746092e-06	206578316218.43356	3.5627746582031247e-07
108.0	6.12	6.12	-72.8767534479705	4.788054981231689e-05	6.9515533447265576e-06	206490877792.96072	3.5443623860677084e-07
111.0	6.07	6.07	-71.96550123244775	4.9929835700988767e-05	1.576044464111328e-05	206443100722.5961	3.5351562499999996e-07
114.0	6.02	6.02	-71.05424901692498	6.36589464187622e-05	2.313041687011722e-06	206353264896.17978	3.5535685221354165e-07
117.0	5.97	5.97	-70.14299680140223	6.195304940541586e-05	1.5228790283203123e-05	206277437084.9951	3.5811869303385416e-07
120.0	5.92	5.92	-69.2317445858795	5.370066903432211e-05	8.449851989746098e-06	206201489956.95956	3.4430948893229167e-07
123.0	5.87	5.87	-68.32049237035676	4.664876880645753e-05	7.541206359863287e-06	206139901201.81787	3.240559895833333e-07
126.0	5.82	5.82	-67.40924015483401	5.346223011016846e-05	2.1389076232910156e-05	206090364533.3125	3.5443623860677084e-07
